Counter_Location_Description,Latitude,Longitude,Log_Timstamp,Total_Pedestrian_Count,Total_Cyclist_Count
106 Street N of 76 Avenue NB,53.51304,-113.50381,9-Jan-23,0,59
Capilano Bridge,53.561355,-113.420088,5-Mar-22,186,0
106 Street N of 76 Avenue NB,53.51304,-113.50381,12-Jan-20,0,10
Queen Elizabeth Park 2,53.52457,-113.49748,28-Jan-23,60,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,17-Oct-18,0,165
121 Street SUP N of 107 Avenue,53.55131,-113.53093,31-Dec-21,543,2
102 Avenue E of 105 Street,53.54297512,-113.5003897,17-Nov-18,0,59
103A Avenue W of 96 Street,53.5473265,-113.4842106,21-Jul-22,912,173
83 Avenue W 106 Street,53.51911,-113.50441,15-Oct-21,0,833
96 Street S of Jasper Ave,53.54312877,-113.4819533,12-Aug-20,0,12
106 Street N of 76 Avenue NB,53.51304,-113.50381,13-Feb-20,0,33
103A Avenue W of 96 Street,53.5473265,-113.4842106,5-May-22,736,122
102 Avenue E of 121 Street,53.54308,-113.52949,15-Mar-22,0,176
76 Avenue W of 106 Street EB,53.51221,-113.50486,1-Feb-21,0,13
Funicular @ 100 St,53.539481,-113.488365,21-Jul-21,896,0
106 Street N of 76 Avenue NB,53.51304,-113.50381,21-Sep-22,0,259
103 Street N of 100 Avenue,53.53912407,-113.4975386,8-Apr-21,0,63
76 Avenue W of 106 Street WB,53.51234,-113.50485,17-Jul-22,0,128
High Level Bridge East,53.53249552,-113.5095117,14-Feb-23,124,83
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,6-Jul-20,546,1132
121 Street SUP N of 107 Avenue,53.55131,-113.53093,3-Nov-22,292,71
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,17-Apr-22,118,91
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,8-Mar-21,147,39
103A Avenue W of 96 Street,53.5473265,-113.4842106,23-Feb-22,549,29
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,12-Dec-21,36,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,13-May-22,0,122
Capilano Bridge,53.561355,-113.420088,5-Sep-22,710,0
105 Avenue W of 109 Street,53.54829907,-113.5094746,25-Apr-19,0,496
103 Street N of 102 Avenue,53.54360589,-113.4974978,30-Jan-21,0,21
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,2-Mar-22,181,84
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,8-Nov-19,125,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,2-Feb-19,0,9
MacKinnon Ravine,53.53905,-113.54702,7-Nov-21,184,506
106 Street N of 76 Avenue NB,53.51304,-113.50381,30-Jan-21,0,24
High Level Bridge West,53.53277648,-113.5099417,11-May-21,953,839
Queen Elizabeth Park 2,53.52457,-113.49748,18-Jul-22,450,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,23-Mar-21,0,54
102A Avenue W of 96 Street,53.54541049,-113.4834711,31-Mar-20,0,14
High Level Bridge West,53.53277648,-113.5099417,2-Jul-22,800,340
83 Avenue W 106 Street,53.51911,-113.50441,17-Mar-20,0,206
100 Avenue E of 107 Street,53.53885088,-113.5035117,24-Nov-18,0,57
Queen Elizabeth Park 2,53.52457,-113.49748,19-May-21,234,0
102A Avenue W of 96 Street,53.54541049,-113.4834711,13-Nov-22,0,20
103 Street N of 100 Avenue,53.53912407,-113.4975386,27-Mar-19,0,94
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,11-Jan-22,245,78
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,22-Aug-19,1493,580
Railtown Park SUP,53.5430264,-113.5102586,9-Mar-22,582,108
106 Street S of 104 Avenue,53.54519216,-113.5030336,26-Mar-20,0,21
121 Street SUP N of 107 Avenue,53.55131,-113.53093,30-Aug-22,950,601
102 Avenue E of 121 Street,53.54308,-113.52949,1-Apr-20,0,27
Funicular @ 100 St,53.539481,-113.488365,4-Jun-20,640,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,15-May-19,0,79
Funicular @ 100 St,53.539481,-113.488365,5-Mar-23,149,0
Funicular @ 100 St,53.539481,-113.488365,9-Aug-22,2079,0
High Level Bridge West,53.53277648,-113.5099417,10-Nov-20,434,181
127 Street N of 107 Avenue,53.55149,-113.54119,4-Jul-21,0,270
Sir Wilfrid Laurier Park,53.51167,-113.54897,13-Mar-22,215,0
127 Street N of 107 Avenue,53.55149,-113.54119,20-Apr-21,0,273
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,29-Nov-20,194,0
Funicular @ 100 St,53.539481,-113.488365,1-Oct-21,1124,0
105 Avenue W of 101 Street,53.54767204,-113.4945246,14-May-22,619,27
Emily Murphy,53.532383,-113.531662,10-Jan-23,87,0
102 Avenue E of 121 Street,53.54308,-113.52949,23-Sep-21,0,572
83 Avenue W 106 Street,53.51911,-113.50441,28-Sep-20,0,745
105 Avenue W of 101 Street,53.54767204,-113.4945246,3-Apr-19,360,120
96 Street S of Jasper Ave,53.54312877,-113.4819533,5-Sep-19,0,40
Railtown Park SUP,53.5430264,-113.5102586,2-Oct-22,848,514
105 Avenue W of 101 Street,53.54767204,-113.4945246,27-Jun-21,96,60
103 Street N of 102 Avenue,53.54360589,-113.4974978,27-May-22,0,159
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,14-Nov-21,207,43
106 Street S of 104 Avenue,53.54519216,-113.5030336,13-Nov-18,0,53
High Level Bridge East,53.53249552,-113.5095117,27-Jul-19,423,181
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,21-Nov-18,251,122
LRT SUP East of 92 Street,53.55645536,-113.4749465,15-Jul-19,397,550
Queen Elizabeth Park 2,53.52457,-113.49748,13-Jun-21,1211,0
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,9-Feb-23,223,101
127 Street N of 107 Avenue,53.55149,-113.54119,14-Mar-20,0,6
83 Avenue W 106 Street,53.51911,-113.50441,14-Feb-22,0,177
Whitemud Ravine Boardwalk,53.476847,-113.555595,9-Oct-20,491,0
127 Street N of 107 Avenue,53.55149,-113.54119,11-Sep-22,0,273
Queen Elizabeth Park 2,53.52457,-113.49748,28-Aug-22,413,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,9-Nov-21,0,162
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,10-Sep-18,230,248
Rossdale SUP,53.52781,-113.49539,25-Apr-22,446,150
76 Avenue W of 106 Street EB,53.51221,-113.50486,29-Oct-20,0,63
102A Avenue W of 96 Street,53.54541049,-113.4834711,31-Jan-20,0,55
102 Avenue E of 121 Street,53.54308,-113.52949,24-Jul-21,0,870
Capilano SUP,53.560733,-113.424422,7-May-22,292,252
LRT SUP East of 92 Street,53.55645536,-113.4749465,18-Jun-19,301,463
Hermitage South,53.578605,-113.37223,26-Apr-22,235,0
High Level Bridge East,53.53249552,-113.5095117,20-Jan-20,183,100
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,15-Oct-18,307,367
103A Avenue W of 96 Street,53.5473265,-113.4842106,29-Nov-21,616,47
83 Avenue W of 99 Street,53.51907,-113.48717,28-Dec-19,0,82
105 Avenue W of 101 Street,53.54767204,-113.4945246,19-Jan-23,656,25
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,2-Nov-19,308,50
High Level Bridge West,53.53277648,-113.5099417,13-Dec-21,235,114
Gold Bar Trail,53.554767,-113.401458,13-Mar-22,334,7
121 Street SUP N of 107 Avenue,53.55131,-113.53093,29-Mar-22,327,54
High Level Bridge East,53.53249552,-113.5095117,5-Jul-21,493,248
76 Avenue W of 106 Street WB,53.51234,-113.50485,9-Aug-22,0,141
103 Street N of 102 Avenue,53.54360589,-113.4974978,17-Aug-19,0,153
83 Avenue W of 99 Street,53.51907,-113.48717,18-Nov-21,0,171
99 Street N of 102A Avenue,53.54537031,-113.4893957,17-Nov-19,0,18
103A Avenue W of 96 Street,53.5473265,-113.4842106,3-Apr-20,385,29
100 Avenue E of 107 Street,53.53885088,-113.5035117,5-Mar-20,0,167
103 Street N of 100 Avenue,53.53912407,-113.4975386,5-Sep-22,0,77
102 Avenue E of 105 Street,53.54297512,-113.5003897,25-Jul-20,0,0
76 Avenue W of 106 Street EB,53.51221,-113.50486,1-Jun-22,0,156
106 Street N of 76 Avenue NB,53.51304,-113.50381,13-Sep-19,0,254
102A Avenue W of 96 Street,53.54541049,-113.4834711,25-Jul-19,0,227
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,15-Oct-19,55,0
Capilano Bridge,53.561355,-113.420088,8-Dec-22,114,0
High Level Bridge East,53.53249552,-113.5095117,14-Oct-19,110,30
Capilano Bridge,53.561355,-113.420088,5-Apr-22,269,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,29-Oct-21,0,2077
Hermitage South,53.578605,-113.37223,3-May-22,249,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,15-Feb-21,387,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,23-Oct-20,0,44
76 Avenue W of 106 Street EB,53.51221,-113.50486,21-Feb-23,0,10
106 Street N of Jasper Avenue,53.54171422,-113.5030261,8-Dec-18,0,10
99 Street N of 102A Avenue,53.54537031,-113.4893957,17-Dec-22,0,161
106 Street N of 76 Avenue NB,53.51304,-113.50381,13-Nov-21,0,113
103 Street N of 102 Avenue,53.54360589,-113.4974978,10-Mar-22,0,21
99 Street N of 102A Avenue,53.54537031,-113.4893957,6-Sep-18,0,158
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,8-May-21,159,77
Buena Vista Bridge,53.52139,-113.54829,13-Jan-23,0,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,7-Sep-18,0,216
105 Avenue W of 101 Street,53.54767204,-113.4945246,29-Sep-20,166,101
103 Street N of 102 Avenue,53.54360589,-113.4974978,18-Apr-19,0,184
106 Street S of 104 Avenue,53.54519216,-113.5030336,18-May-19,0,68
106 Street N of 76 Avenue SB,53.51306,-113.50389,13-Nov-22,0,34
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,11-Jul-22,222,673
103 Street N of 102 Avenue,53.54360589,-113.4974978,26-Nov-19,0,95
Buena Vista Bridge,53.52139,-113.54829,23-Jan-22,819,48
MacKinnon Ravine,53.53905,-113.54702,13-Dec-22,42,86
Queen Elizabeth Park,53.52595,-113.50289,10-Feb-23,17,174
127 Street N of 107 Avenue,53.55149,-113.54119,31-Mar-20,0,8
Rossdale SUP,53.52781,-113.49539,2-Oct-19,178,126
MacKinnon Ravine,53.53905,-113.54702,31-Oct-21,169,537
105 Avenue W of 101 Street,53.54767204,-113.4945246,1-Mar-23,650,22
102 Avenue E of 105 Street,53.54297512,-113.5003897,3-Oct-20,0,0
MacKinnon Ravine,53.53905,-113.54702,3-Aug-21,589,595
99 Street N of 102A Avenue,53.54537031,-113.4893957,26-Aug-20,0,119
96 Street S of Jasper Ave,53.54312877,-113.4819533,18-Nov-22,0,4
105 Avenue W of 101 Street,53.54767204,-113.4945246,7-Jan-21,80,29
99 Street N of 102A Avenue,53.54537031,-113.4893957,31-Jan-20,0,35
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,7-Sep-21,450,725
106 Street N of Jasper Avenue,53.54171422,-113.5030261,9-Sep-18,0,48
76 Avenue W of 106 Street WB,53.51234,-113.50485,6-Feb-22,0,6
103 Street N of 102 Avenue,53.54360589,-113.4974978,12-Nov-20,0,39
99 Street N of 102A Avenue,53.54537031,-113.4893957,9-Dec-21,0,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,26-Oct-20,0,54
Buena Vista Bridge,53.52139,-113.54829,21-Sep-21,571,607
Capilano SUP,53.560733,-113.424422,16-Dec-22,121,15
103 Street N of 102 Avenue,53.54360589,-113.4974978,4-Jul-21,0,178
103 Street N of 100 Avenue,53.53912407,-113.4975386,27-Aug-20,0,187
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,2-Sep-19,1219,458
121 Street SUP N of 107 Avenue,53.55131,-113.53093,21-Jul-21,349,398
106 Street S of 104 Avenue,53.54519216,-113.5030336,24-Oct-19,0,116
102A Avenue W of 96 Street,53.54541049,-113.4834711,15-Jun-22,0,111
121 Street SUP N of 107 Avenue,53.55131,-113.53093,4-Jun-21,397,399
Capilano Bridge,53.561355,-113.420088,4-Oct-21,398,0
Funicular @ 100 St,53.539481,-113.488365,18-Jun-20,850,0
LRT SUP East of 92 Street,53.55645536,-113.4749465,27-Jan-19,96,49
106 Street N of 76 Avenue NB,53.51304,-113.50381,19-May-22,0,73
105 Avenue W of 109 Street,53.54829907,-113.5094746,22-May-19,0,570
76 Avenue W of 106 Street EB,53.51221,-113.50486,4-May-20,0,45
Sir Wilfrid Laurier Park,53.51167,-113.54897,6-Sep-22,405,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,13-Oct-21,406,0
Hermitage South,53.578605,-113.37223,24-Sep-22,305,0
Queen Elizabeth Park 2,53.52457,-113.49748,4-Sep-22,421,0
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,17-May-22,438,650
83 Avenue W of 99 Street,53.51907,-113.48717,14-Sep-22,0,1203
Capilano SUP,53.560733,-113.424422,13-Sep-22,111,199
102A Avenue W of 96 Street,53.54541049,-113.4834711,7-May-19,0,222
102 Avenue E of 105 Street,53.54297512,-113.5003897,20-Jul-20,0,0
East Trails,53.604,-113.31977,18-Mar-22,5,57
100 Avenue E of 107 Street,53.53885088,-113.5035117,1-Mar-22,0,74
103 Street N of 102 Avenue,53.54360589,-113.4974978,18-Jan-22,0,11
103 Street N of 102 Avenue,53.54360589,-113.4974978,3-Jul-21,0,211
121 Street SUP N of 107 Avenue,53.55131,-113.53093,2-Feb-20,9454,31
East Trails,53.604,-113.31977,25-Aug-22,121,32
Queen Elizabeth Park 2,53.52457,-113.49748,17-Jul-21,330,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,2-Aug-20,0,151
Whitemud Ravine Boardwalk,53.476847,-113.555595,18-Sep-20,777,0
106 Street N of Jasper Avenue,53.54171422,-113.5030261,4-Dec-22,0,5
Whitemud Ravine Boardwalk,53.476847,-113.555595,13-Jul-21,497,0
High Level Bridge East,53.53249552,-113.5095117,1-Mar-21,274,64
Hermitage South,53.578605,-113.37223,31-Oct-22,97,0
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,15-Sep-22,164,465
102A Avenue W of 96 Street,53.54541049,-113.4834711,1-Feb-20,0,17
Rossdale SUP,53.52781,-113.49539,23-Aug-22,572,329
76 Avenue W of 106 Street WB,53.51234,-113.50485,12-Jan-22,0,21
Rossdale SUP,53.52781,-113.49539,18-Oct-20,273,65
121 Street SUP N of 107 Avenue,53.55131,-113.53093,28-Jul-20,357,588
102A Avenue W of 96 Street,53.54541049,-113.4834711,15-Aug-20,0,247
East Trails,53.604,-113.31977,12-Dec-22,0,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,19-Jul-21,0,16
LRT SUP East of 92 Street,53.55645536,-113.4749465,17-Mar-22,0,49
99 Street N of 102A Avenue,53.54537031,-113.4893957,14-Apr-22,0,803
102 Avenue E of 121 Street,53.54308,-113.52949,1-May-21,0,554
High Level Bridge East,53.53249552,-113.5095117,26-Feb-23,148,21
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,12-Aug-21,407,718
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,19-Jul-20,471,305
99 Street N of 102A Avenue,53.54537031,-113.4893957,30-Dec-22,0,80
106 Street N of 76 Avenue NB,53.51304,-113.50381,6-Mar-20,0,48
127 Street N of 107 Avenue,53.55149,-113.54119,3-Jun-20,0,185
102A Avenue W of 96 Street,53.54541049,-113.4834711,7-Aug-19,0,391
83 Avenue W 106 Street,53.51911,-113.50441,30-Jul-21,0,1078
106 Street N of Jasper Avenue,53.54171422,-113.5030261,26-Sep-22,0,163
MacKinnon Ravine,53.53905,-113.54702,4-Sep-21,891,1159
High Level Bridge East,53.53249552,-113.5095117,14-Feb-21,99,47
100 Avenue E of 107 Street,53.53885088,-113.5035117,17-Oct-20,0,77
100 Avenue E of 107 Street,53.53885088,-113.5035117,10-Apr-20,0,96
Rossdale SUP,53.52781,-113.49539,7-Apr-21,444,302
Rossdale SUP,53.52781,-113.49539,22-Dec-21,128,10
100 Avenue E of 107 Street,53.53885088,-113.5035117,15-Sep-21,0,363
High Level Bridge East,53.53249552,-113.5095117,26-May-21,583,249
102 Avenue E of 105 Street,53.54297512,-113.5003897,4-Sep-19,0,718
102A Avenue W of 96 Street,53.54541049,-113.4834711,13-Jun-20,0,170
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,6-Mar-21,432,108
Railtown Park SUP,53.5430264,-113.5102586,21-Oct-18,638,198
105 Avenue W of 101 Street,53.54767204,-113.4945246,27-May-21,263,71
76 Avenue W of 106 Street EB,53.51221,-113.50486,4-Apr-21,0,29
106 Street S of 104 Avenue,53.54519216,-113.5030336,3-Aug-20,0,39
103 Street N of 102 Avenue,53.54360589,-113.4974978,19-Dec-21,0,12
High Level Bridge West,53.53277648,-113.5099417,26-Aug-22,1173,1350
103 Street N of 102 Avenue,53.54360589,-113.4974978,28-Feb-20,0,88
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,22-May-22,144,370
103 Street N of 102 Avenue,53.54360589,-113.4974978,11-Feb-22,0,18
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,29-Nov-18,213,112
106 Street N of 76 Avenue SB,53.51306,-113.50389,21-Aug-20,0,301
106 Street N of Jasper Avenue,53.54171422,-113.5030261,14-Oct-18,0,45
103 Street N of 102 Avenue,53.54360589,-113.4974978,14-Oct-20,0,120
103 Street N of 100 Avenue,53.53912407,-113.4975386,5-Sep-19,0,303
Capilano SUP,53.560733,-113.424422,1-Mar-22,163,6
99 Street N of 102A Avenue,53.54537031,-113.4893957,29-Aug-19,0,143
105 Avenue W of 101 Street,53.54767204,-113.4945246,1-Oct-20,359,199
Railtown Park SUP,53.5430264,-113.5102586,17-Sep-19,1654,882
Railtown Park SUP,53.5430264,-113.5102586,31-Oct-18,1050,570
Queen Elizabeth Park,53.52595,-113.50289,8-Jul-22,146,483
Whitemud Ravine Boardwalk,53.476847,-113.555595,25-Nov-22,109,0
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,18-Nov-19,254,131
106 Street N of 76 Avenue SB,53.51306,-113.50389,3-Aug-20,0,154
121 Street SUP N of 107 Avenue,53.55131,-113.53093,15-Jul-22,612,548
East Trails,53.604,-113.31977,15-Oct-22,28,62
121 Street SUP N of 107 Avenue,53.55131,-113.53093,14-May-19,541,507
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,1-Mar-23,218,87
127 Street N of 107 Avenue,53.55149,-113.54119,18-Feb-23,0,9
99 Street N of 102A Avenue,53.54537031,-113.4893957,24-Apr-20,0,71
100 Avenue E of 107 Street,53.53885088,-113.5035117,15-Sep-18,0,21
103 Street N of 100 Avenue,53.53912407,-113.4975386,24-Dec-18,0,14
106 Street N of Jasper Avenue,53.54171422,-113.5030261,24-Feb-21,0,53
106 Street N of Jasper Avenue,53.54171422,-113.5030261,8-Oct-22,0,52
99 Street N of 102A Avenue,53.54537031,-113.4893957,21-Sep-19,0,94
High Level Bridge West,53.53277648,-113.5099417,16-Apr-21,1936,1378
East Trails,53.604,-113.31977,24-Nov-22,4,18
LRT SUP East of 92 Street,53.55645536,-113.4749465,11-Mar-20,116,151
Railtown Park SUP,53.5430264,-113.5102586,25-May-20,768,530
103 Street N of 100 Avenue,53.53912407,-113.4975386,12-Apr-22,0,44
102A Avenue W of 96 Street,53.54541049,-113.4834711,1-Aug-20,0,133
105 Avenue W of 109 Street,53.54829907,-113.5094746,5-Feb-19,0,71
High Level Bridge East,53.53249552,-113.5095117,1-Nov-19,212,184
105 Avenue W of 101 Street,53.54767204,-113.4945246,2-Oct-22,515,49
103A Avenue W of 96 Street,53.5473265,-113.4842106,7-Jun-19,797,64
106 Street N of 76 Avenue SB,53.51306,-113.50389,28-Mar-22,0,25
105 Avenue W of 101 Street,53.54767204,-113.4945246,2-Mar-21,89,18
83 Avenue W 106 Street,53.51911,-113.50441,19-Apr-20,0,493
Funicular @ 100 St,53.539481,-113.488365,23-Aug-20,1016,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,6-May-22,0,21
Funicular @ 100 St,53.539481,-113.488365,22-Jul-21,580,0
105 Avenue W of 109 Street,53.54829907,-113.5094746,1-Jul-20,0,160
106 Street S of 104 Avenue,53.54519216,-113.5030336,26-Feb-23,0,8
106 Street N of Jasper Avenue,53.54171422,-113.5030261,23-Apr-19,0,224
83 Avenue W 106 Street,53.51911,-113.50441,24-Apr-19,0,669
102A Avenue W of 96 Street,53.54541049,-113.4834711,27-Jul-22,0,309
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,29-Dec-19,178,0
96 Street S of Jasper Ave,53.54312877,-113.4819533,14-Nov-20,0,3
76 Avenue W of 106 Street WB,53.51234,-113.50485,12-Apr-22,0,28
105 Avenue W of 101 Street,53.54767204,-113.4945246,30-Jan-19,249,42
100 Avenue E of 107 Street,53.53885088,-113.5035117,2-Jul-22,0,132
